Time;Acceleration
0;0
0.01;-0.00331967
0.02;-0.00505372
0.03;-0.00406422
0.04;-0.00123568
0.05;0.00122905
0.06;0.00175046
0.07;0.00194506
0.08;0.00282691
0.09;0.0031422
0.1;0.00153537
0.11;-0.000986748
0.12;-0.00151244
0.13;0.000708869
0.14;0.00312222
0.15;0.00374516
0.16;0.00391152
0.17;0.00535189
0.18;0.00700703
0.19;0.00719959
0.2;0.00712059
0.21;0.00858502
0.22;0.00974791
0.23;0.00691967
0.24;0.000294088
0.25;-0.00606728
0.26;-0.00857768
0.27;-0.00657319
0.28;-0.00187013
0.29;0.00190408
0.3;0.00169592
0.31;-0.00167258
0.32;-0.00405372
0.33;-0.00251091
0.34;0.00189266
0.35;0.00563843
0.36;0.00508634
0.37;-0.000654128
0.38;-0.0070789
0.39;-0.00701886
0.4;0.00140357
0.41;0.0117808
0.42;0.0163802
0.43;0.0139134
0.44;0.00950907
0.45;0.00832477
0.46;0.0104363
0.47;0.0110051
0.48;0.00564862
0.49;-0.00415372
0.5;-0.012212
0.51;-0.0139388
0.52;-0.0101526
0.53;-0.00449969
0.54;-0.000171458
0.55;0.0019843
0.56;0.0036841
0.57;0.00661284
0.58;0.00864995
0.59;0.00631193
0.6;0.00139399
0.61;-0.000711009
0.62;0.000196228
0.63;-0.00172936
0.64;-0.00770061
0.65;-0.0106707
0.66;-0.00541519
0.67;0.00345372
0.68;0.00868247
0.69;0.00928726
0.7;0.00861376
0.71;0.00765372
0.72;0.00504027
0.73;0.000406932
0.74;-0.00430714
0.75;-0.00572232
0.76;-0.000775331
0.77;0.00946147
0.78;0.0184424
0.79;0.0195454
0.8;0.0127941
0.81;0.00402222
0.82;-0.00171509
0.83;-0.00348043
0.84;-0.00308002
0.85;-0.00275066
0.86;-0.0035789
0.87;-0.00389613
0.88;-0.000594495
0.89;0.00656493
0.9;0.0134577
0.91;0.0151794
0.92;0.0101926
0.93;0.000904077
0.94;-0.00759429
0.95;-0.0101774
0.96;-0.00532304
0.97;0.0030581
0.98;0.00948583
0.99;0.0126381
1;0.0150805
1.01;0.0172885
1.02;0.0147044
1.03;0.00335933
1.04;-0.0121733
1.05;-0.0200306
1.06;-0.0137472
1.07;-0.000249134
1.08;0.00882762
1.09;0.0105025
1.1;0.00947696
1.11;0.00813384
1.12;0.00536004
1.13;0.00332375
1.14;0.00627808
1.15;0.012682
1.16;0.0159317
1.17;0.0130499
1.18;0.00675627
1.19;0.000566157
1.2;-0.00324608
1.21;-0.00372202
1.22;-0.00342212
1.23;-0.00728389
1.24;-0.0151549
1.25;-0.0202018
1.26;-0.0174261
1.27;-0.00993282
1.28;-0.00346239
1.29;-0.0003737
1.3;-0.000620897
1.31;-0.00425219
1.32;-0.00945698
1.33;-0.0115464
1.34;-0.0063949
1.35;0.00498114
1.36;0.0160122
1.37;0.0197849
1.38;0.0153007
1.39;0.00740805
1.4;-0.000122732
1.41;-0.00759419
1.42;-0.0143619
1.43;-0.0164557
1.44;-0.0128359
1.45;-0.00848919
1.46;-0.00741182
1.47;-0.00780387
1.48;-0.00711713
1.49;-0.00587737
1.5;-0.00383242
1.51;0.0013104
1.52;0.0086208
1.53;0.013739
1.54;0.015526
1.55;0.0166167
1.56;0.0167176
1.57;0.0131009
1.58;0.00797706
1.59;0.00648593
1.6;0.00704108
1.61;0.00209256
1.62;-0.0095841
1.63;-0.0198135
1.64;-0.0220173
1.65;-0.0191886
1.66;-0.0173629
1.67;-0.0172966
1.68;-0.0159215
1.69;-0.0130296
1.7;-0.0118094
1.71;-0.0134475
1.72;-0.01437
1.73;-0.0101633
1.74;-0.000932518
1.75;0.00811468
1.76;0.0110571
1.77;0.00624628
1.78;-0.00264506
1.79;-0.0101224
1.8;-0.0134944
1.81;-0.0143741
1.82;-0.0155627
1.83;-0.0173303
1.84;-0.0186463
1.85;-0.0204791
1.86;-0.0243078
1.87;-0.0284444
1.88;-0.0299867
1.89;-0.0295127
1.9;-0.0297706
1.91;-0.030897
1.92;-0.0308512
1.93;-0.0296697
1.94;-0.029844
1.95;-0.033157
1.96;-0.0398277
1.97;-0.0490775
1.98;-0.0578797
1.99;-0.0612283
2;-0.0566911
2.01;-0.0469276
2.02;-0.035792
2.03;-0.0249072
2.04;-0.015527
2.05;-0.0104536
2.06;-0.0119185
2.07;-0.0188909
2.08;-0.0279888
2.09;-0.0359429
2.1;-0.0413028
2.11;-0.0444241
2.12;-0.0465025
2.13;-0.0482171
2.14;-0.0494414
2.15;-0.0498461
2.16;-0.0491845
2.17;-0.0461325
2.18;-0.0379796
2.19;-0.0232385
2.2;-0.00530489
2.21;0.00906442
2.22;0.0165627
2.23;0.0215352
2.24;0.0297798
2.25;0.0401182
2.26;0.0469256
2.27;0.0490285
2.28;0.0487013
2.29;0.0430234
2.3;0.025844
2.31;-0.000800714
2.32;-0.0253466
2.33;-0.0396606
2.34;-0.0459103
2.35;-0.0492661
2.36;-0.050106
2.37;-0.0459042
2.38;-0.0360724
2.39;-0.0234363
2.4;-0.0127859
2.41;-0.00692813
2.42;-0.00257034
2.43;0.00690173
2.44;0.023422
2.45;0.0427859
2.46;0.0620754
2.47;0.0823945
2.48;0.102966
2.49;0.119501
2.5;0.130102
2.51;0.13632
2.52;0.137064
