Elevation,Aspect,Slope,Curvature,Flow acc,TPI,Roads,Rivers,ID,Landslides,Class [E],Class [S],Class [A],Class [C],Class [FA],Class [TP],Class [D1],Class [D2],Wij [E],Wij [S],Wij [A],Wij [C],Wij [FA],Wij [TP],Wij [D1],Wij [D2],ISTCU
735.72,283.50,12.82,-0.00564,112.24,0.16,56.57,40.00,"1",yes,p1,p5,p8,p3,p8,p5,p2,p1,0.167799761000000,0.046295095000000,0.068000694000000,-0.009676808000000,0.180950616000000,-0.003211972000000,-0.023336602000000,0.210227777000000,0.637048561000000
732.19,276.19,13.21,-0.00230,105.33,0.41,40.00,63.25,"2",yes,p1,p5,p7,p4,p8,p6,p2,p2,0.167799761000000,0.046295095000000,0.077229926000000,-0.031836488000000,0.180950616000000,-0.030695560000000,-0.023336602000000,0.161023411000000,0.547430160000000
736.51,278.57,12.97,-0.00496,85.72,-0.03,40.00,56.57,"3",yes,p1,p5,p7,p3,p7,p5,p2,p2,0.167799761000000,0.046295095000000,0.077229926000000,-0.009676808000000,0.105651855000000,-0.003211972000000,-0.023336602000000,0.161023411000000,0.521774666000000
741.37,280.63,12.25,-0.01203,82.64,0.69,28.28,44.72,"4",yes,p1,p5,p8,p2,p7,p7,p2,p2,0.167799761000000,0.046295095000000,0.068000694000000,-0.068639136000000,0.105651855000000,-0.033089711000000,-0.023336602000000,0.161023411000000,0.423705367000000
745.37,288.94,8.89,-0.00436,72.31,1.05,20.00,40.00,"5",yes,p1,p2,p8,p3,p7,p7,p1,p1,0.167799761000000,0.032613953000000,0.068000694000000,-0.009676808000000,0.105651855000000,-0.033089711000000,-0.113921575000000,0.210227777000000,0.427605945000000
732.81,306.68,15.56,0.03387,98.06,-1.52,20.00,82.46,"6",yes,p1,p7,p8,p8,p7,p1,p1,p3,0.167799761000000,0.001808829000000,0.068000694000000,0.095087784000000,0.105651855000000,0.022916385000000,-0.113921575000000,0.013423231000000,0.360766965000000
736.74,300.42,12.76,0.04558,109.85,-1.83,20.00,72.11,"7",yes,p1,p5,p8,p8,p8,p1,p1,p2,0.167799761000000,0.046295095000000,0.068000694000000,0.095087784000000,0.180950616000000,0.022916385000000,-0.113921575000000,0.161023411000000,0.628152171000000
742.08,286.57,11.51,0.02940,81.14,0.06,20.00,63.25,"8",yes,p1,p4,p8,p8,p7,p5,p1,p2,0.167799761000000,0.074341477000000,0.068000694000000,0.095087784000000,0.105651855000000,-0.003211972000000,-0.113921575000000,0.161023411000000,0.554771435000000
745.19,285.63,9.72,-0.00787,86.34,-0.30,0.00,60.00,"9",yes,p1,p3,p8,p3,p7,p4,p1,p2,0.167799761000000,0.047151447000000,0.068000694000000,-0.009676808000000,0.105651855000000,0.094589063000000,-0.113921575000000,0.161023411000000,0.520617848000000
741.33,329.77,13.81,0.00972,26.55,0.09,0.00,89.44,"10",yes,p1,p6,p8,p6,p6,p5,p1,p3,0.167799761000000,-0.009248494000000,0.068000694000000,0.069394899000000,0.093063098000000,-0.003211972000000,-0.113921575000000,0.013423231000000,0.285299643000000
742.89,315.47,10.98,0.03007,58.41,-1.33,0.00,82.46,"11",yes,p1,p4,p8,p8,p7,p1,p1,p3,0.167799761000000,0.074341477000000,0.068000694000000,0.095087784000000,0.105651855000000,0.022916385000000,-0.113921575000000,0.013423231000000,0.433299612000000
758.04,276.50,6.95,0.00438,155.43,-0.26,63.25,20.00,"12",yes,p2,p1,p7,p5,p8,p4,p3,p1,0.057115551000000,-0.059663047000000,0.077229926000000,0.000423519000000,0.180950616000000,0.094589063000000,0.027092548000000,0.210227777000000,0.587965952000000
760.62,268.84,7.90,0.02247,194.11,-0.30,82.46,28.28,"13",yes,p2,p1,p7,p8,p8,p4,p3,p1,0.057115551000000,-0.059663047000000,0.077229926000000,0.095087784000000,0.180950616000000,0.094589063000000,0.027092548000000,0.210227777000000,0.682630218000000
757.96,281.34,5.97,0.00563,101.00,-0.80,72.11,40.00,"14",yes,p2,p1,p8,p5,p7,p2,p3,p1,0.057115551000000,-0.059663047000000,0.068000694000000,0.000423519000000,0.105651855000000,0.031715877000000,0.027092548000000,0.210227777000000,0.440564772000000
760.87,283.63,9.28,0.00152,66.35,-0.43,89.44,44.72,"15",yes,p2,p2,p8,p5,p7,p3,p3,p2,0.057115551000000,0.032613953000000,0.068000694000000,0.000423519000000,0.105651855000000,0.029821053000000,0.027092548000000,0.161023411000000,0.481742583000000
764.44,293.64,11.07,0.00316,31.40,-0.18,107.70,56.57,"16",yes,p2,p4,p8,p5,p6,p4,p4,p2,0.057115551000000,0.074341477000000,0.068000694000000,0.000423519000000,0.093063098000000,0.094589063000000,0.022456623000000,0.161023411000000,0.571013435000000
767.60,290.07,13.17,0.02101,20.36,-1.33,126.49,60.00,"17",yes,p2,p5,p8,p8,p5,p1,p4,p2,0.057115551000000,0.046295095000000,0.068000694000000,0.095087784000000,0.009232847000000,0.022916385000000,0.022456623000000,0.161023411000000,0.482128390000000
772.74,279.18,13.76,0.02351,15.88,-0.57,145.60,60.00,"18",yes,p3,p6,p7,p8,p5,p3,p5,p2,0.136007927000000,-0.009248494000000,0.077229926000000,0.095087784000000,0.009232847000000,0.029821053000000,0.024231304000000,0.161023411000000,0.523385759000000
761.43,308.92,11.65,0.03647,20.81,-1.98,100.00,63.25,"19",yes,p2,p4,p8,p8,p5,p1,p3,p2,0.057115551000000,0.074341477000000,0.068000694000000,0.095087784000000,0.009232847000000,0.022916385000000,0.027092548000000,0.161023411000000,0.514810697000000
766.53,298.70,12.48,0.00817,11.65,0.13,116.62,72.11,"20",yes,p2,p5,p8,p6,p4,p5,p4,p2,0.057115551000000,0.046295095000000,0.068000694000000,0.069394899000000,-0.038693589000000,-0.003211972000000,0.022456623000000,0.161023411000000,0.382380712000000
770.64,295.87,12.22,-0.00594,10.91,0.50,134.16,80.00,"21",yes,p2,p5,p8,p3,p4,p6,p5,p2,0.057115551000000,0.046295095000000,0.068000694000000,-0.009676808000000,-0.038693589000000,-0.030695560000000,0.024231304000000,0.161023411000000,0.277600097000000
774.36,289.85,12.30,-0.00320,10.45,0.16,152.32,80.00,"22",yes,p3,p5,p8,p4,p4,p5,p5,p2,0.136007927000000,0.046295095000000,0.068000694000000,-0.031836488000000,-0.038693589000000,-0.003211972000000,0.024231304000000,0.161023411000000,0.361816381000000
778.42,285.23,10.78,0.00151,9.25,0.41,170.88,82.46,"23",yes,p3,p3,p8,p5,p4,p6,p6,p3,0.136007927000000,0.047151447000000,0.068000694000000,0.000423519000000,-0.038693589000000,-0.030695560000000,0.025357110000000,0.013423231000000,0.220974780000000
768.12,315.96,12.23,0.03077,10.20,-1.23,128.06,89.44,"24",yes,p2,p5,p8,p8,p4,p1,p4,p3,0.057115551000000,0.046295095000000,0.068000694000000,0.095087784000000,-0.038693589000000,0.022916385000000,0.022456623000000,0.013423231000000,0.286601775000000
772.02,300.84,11.56,0.01964,8.50,-0.40,144.22,100.00,"25",yes,p3,p4,p8,p7,p3,p3,p5,p3,0.136007927000000,0.074341477000000,0.068000694000000,0.075126801000000,-0.140440662000000,0.029821053000000,0.024231304000000,0.013423231000000,0.280511825000000
775.34,294.87,11.50,0.01482,8.14,-0.74,161.25,100.00,"26",yes,p3,p4,p8,p7,p3,p2,p5,p3,0.136007927000000,0.074341477000000,0.068000694000000,0.075126801000000,-0.140440662000000,0.031715877000000,0.024231304000000,0.013423231000000,0.282406649000000
779.54,293.36,10.27,0.01129,7.12,0.23,178.89,101.98,"27",yes,p3,p3,p8,p6,p3,p6,p6,p3,0.136007927000000,0.047151447000000,0.068000694000000,0.069394899000000,-0.140440662000000,-0.030695560000000,0.025357110000000,0.013423231000000,0.188199087000000
777.79,302.66,11.23,0.00336,3.79,0.00,172.05,120.00,"28",yes,p3,p4,p8,p5,p2,p5,p6,p3,0.136007927000000,0.074341477000000,0.068000694000000,0.000423519000000,-0.074792069000000,-0.003211972000000,0.025357110000000,0.013423231000000,0.239549917000000
782.17,280.53,11.01,0.01288,6.51,-1.15,196.98,107.70,"29",yes,p3,p4,p8,p7,p3,p2,p6,p3,0.136007927000000,0.074341477000000,0.068000694000000,0.075126801000000,-0.140440662000000,0.031715877000000,0.025357110000000,0.013423231000000,0.283532455000000
781.30,299.76,9.60,-0.00263,3.64,0.57,188.68,121.66,"30",yes,p3,p2,p8,p4,p2,p6,p6,p4,0.136007927000000,0.032613953000000,0.068000694000000,-0.031836488000000,-0.074792069000000,-0.030695560000000,0.025357110000000,-0.089983568000000,0.034672000000000
783.71,290.25,8.70,0.01261,4.33,-0.25,205.91,126.49,"31",yes,p3,p2,p8,p7,p2,p4,p7,p4,0.136007927000000,0.032613953000000,0.068000694000000,0.075126801000000,-0.074792069000000,0.094589063000000,0.040094809000000,-0.089983568000000,0.281657611000000
786.56,267.40,11.38,0.01841,4.47,-1.09,223.61,134.16,"32",yes,p3,p4,p7,p7,p2,p2,p7,p4,0.136007927000000,0.074341477000000,0.077229926000000,0.075126801000000,-0.074792069000000,0.031715877000000,0.040094809000000,-0.089983568000000,0.269741181000000
782.73,256.29,7.26,-0.08227,1.73,1.91,200.00,141.42,"33",yes,p3,p1,p6,p1,p1,p8,p6,p4,0.136007927000000,-0.059663047000000,-0.021112622000000,-0.198733044000000,-0.325177251000000,-0.150990845000000,0.025357110000000,-0.089983568000000,-0.684295341000000
784.69,246.57,7.19,-0.07438,2.17,1.27,216.33,145.60,"34",yes,p3,p1,p5,p1,p1,p8,p7,p4,0.136007927000000,-0.059663047000000,-0.061148782000000,-0.198733044000000,-0.325177251000000,-0.150990845000000,0.040094809000000,-0.089983568000000,-0.709593802000000
787.49,238.63,8.97,-0.06495,2.25,1.70,233.24,152.32,"35",yes,p3,p2,p4,p1,p1,p8,p7,p4,0.136007927000000,0.032613953000000,-0.019866731000000,-0.198733044000000,-0.325177251000000,-0.150990845000000,0.040094809000000,-0.089983568000000,-0.576034751000000
817.04,210.22,11.84,0.00830,9.03,-0.28,56.57,152.32,"36",yes,p5,p4,p2,p6,p3,p4,p2,p4,0.064455638000000,0.074341477000000,-0.001822229000000,0.069394899000000,-0.140440662000000,0.094589063000000,-0.023336602000000,-0.089983568000000,0.047198017000000
819.68,221.46,11.10,0.01605,10.63,0.02,63.25,134.16,"37",yes,p5,p4,p3,p7,p4,p5,p3,p4,0.064455638000000,0.074341477000000,-0.016023948000000,0.075126801000000,-0.038693589000000,-0.003211972000000,0.027092548000000,-0.089983568000000,0.093103389000000
811.13,204.42,13.04,0.01086,11.01,-0.32,63.25,156.20,"38",yes,p4,p5,p2,p6,p4,p4,p3,p4,0.084868619000000,0.046295095000000,-0.001822229000000,0.069394899000000,-0.038693589000000,0.094589063000000,0.027092548000000,-0.089983568000000,0.191740839000000
813.36,219.15,12.56,0.02053,15.14,-0.57,72.11,141.42,"39",yes,p5,p5,p3,p7,p5,p3,p3,p4,0.064455638000000,0.046295095000000,-0.016023948000000,0.075126801000000,0.009232847000000,0.029821053000000,0.027092548000000,-0.089983568000000,0.146016467000000
816.42,236.55,12.28,0.02085,13.89,-0.73,82.46,126.49,"40",yes,p5,p5,p4,p8,p5,p2,p3,p4,0.064455638000000,0.046295095000000,-0.019866731000000,0.095087784000000,0.009232847000000,0.031715877000000,0.027092548000000,-0.089983568000000,0.164029491000000
820.58,249.05,11.18,0.01462,7.88,-0.06,89.44,107.70,"41",yes,p5,p4,p5,p7,p3,p5,p3,p3,0.064455638000000,0.074341477000000,-0.061148782000000,0.075126801000000,-0.140440662000000,-0.003211972000000,0.027092548000000,0.013423231000000,0.049638279000000
806.80,214.64,14.84,0.01699,18.63,-0.35,82.46,141.42,"42",yes,p4,p6,p2,p7,p5,p4,p3,p4,0.084868619000000,-0.009248494000000,-0.001822229000000,0.075126801000000,0.009232847000000,0.094589063000000,0.027092548000000,-0.089983568000000,0.189855589000000
810.13,232.17,13.69,0.01545,16.70,-0.52,89.44,128.06,"43",yes,p4,p6,p4,p7,p5,p3,p3,p4,0.084868619000000,-0.009248494000000,-0.019866731000000,0.075126801000000,0.009232847000000,0.029821053000000,0.027092548000000,-0.089983568000000,0.107043077000000
814.65,246.08,14.13,0.00460,8.83,-0.12,100.00,113.14,"44",yes,p5,p6,p5,p5,p3,p4,p3,p3,0.064455638000000,-0.009248494000000,-0.061148782000000,0.000423519000000,-0.140440662000000,0.094589063000000,0.027092548000000,0.013423231000000,-0.010853939000000
