ID,Wij [E],Wij [S],Wij [A],Wij [C],Wij [FA],Wij [TP],Wij [D1],Wij [D2],ISTCU
1,0.168,0.046,0.068,-0.010,0.181,-0.003,-0.023,0.210,0.637
2,0.168,0.046,0.077,-0.032,0.181,-0.031,-0.023,0.161,0.547
3,0.168,0.046,0.077,-0.010,0.106,-0.003,-0.023,0.161,0.522
4,0.168,0.046,0.068,-0.069,0.106,-0.033,-0.023,0.161,0.424
5,0.168,0.033,0.068,-0.010,0.106,-0.033,-0.114,0.210,0.428
6,0.168,0.002,0.068,0.095,0.106,0.023,-0.114,0.013,0.361
7,0.168,0.046,0.068,0.095,0.181,0.023,-0.114,0.161,0.628
8,0.168,0.074,0.068,0.095,0.106,-0.003,-0.114,0.161,0.555
9,0.168,0.047,0.068,-0.010,0.106,0.095,-0.114,0.161,0.521
10,0.168,-0.009,0.068,0.069,0.093,-0.003,-0.114,0.013,0.285
11,0.168,0.074,0.068,0.095,0.106,0.023,-0.114,0.013,0.433
12,0.057,-0.060,0.077,0.000,0.181,0.095,0.027,0.210,0.588
13,0.057,-0.060,0.077,0.095,0.181,0.095,0.027,0.210,0.683
14,0.057,-0.060,0.068,0.000,0.106,0.032,0.027,0.210,0.441
15,0.057,0.033,0.068,0.000,0.106,0.030,0.027,0.161,0.482
16,0.057,0.074,0.068,0.000,0.093,0.095,0.022,0.161,0.571
17,0.057,0.046,0.068,0.095,0.009,0.023,0.022,0.161,0.482
18,0.136,-0.009,0.077,0.095,0.009,0.030,0.024,0.161,0.523
19,0.057,0.074,0.068,0.095,0.009,0.023,0.027,0.161,0.515
20,0.057,0.046,0.068,0.069,-0.039,-0.003,0.022,0.161,0.382
21,0.057,0.046,0.068,-0.010,-0.039,-0.031,0.024,0.161,0.278
22,0.136,0.046,0.068,-0.032,-0.039,-0.003,0.024,0.161,0.362
23,0.136,0.047,0.068,0.000,-0.039,-0.031,0.025,0.013,0.221
24,0.057,0.046,0.068,0.095,-0.039,0.023,0.022,0.013,0.287
25,0.136,0.074,0.068,0.075,-0.140,0.030,0.024,0.013,0.281
26,0.136,0.074,0.068,0.075,-0.140,0.032,0.024,0.013,0.282
27,0.136,0.047,0.068,0.069,-0.140,-0.031,0.025,0.013,0.188
28,0.136,0.074,0.068,0.000,-0.075,-0.003,0.025,0.013,0.240
29,0.136,0.074,0.068,0.075,-0.140,0.032,0.025,0.013,0.284
30,0.136,0.033,0.068,-0.032,-0.075,-0.031,0.025,-0.090,0.035
31,0.136,0.033,0.068,0.075,-0.075,0.095,0.040,-0.090,0.282
32,0.136,0.074,0.077,0.075,-0.075,0.032,0.040,-0.090,0.270
33,0.136,-0.060,-0.021,-0.199,-0.325,-0.151,0.025,-0.090,-0.684
34,0.136,-0.060,-0.061,-0.199,-0.325,-0.151,0.040,-0.090,-0.710
35,0.136,0.033,-0.020,-0.199,-0.325,-0.151,0.040,-0.090,-0.576
36,0.064,0.074,-0.002,0.069,-0.140,0.095,-0.023,-0.090,0.047
37,0.064,0.074,-0.016,0.075,-0.039,-0.003,0.027,-0.090,0.093
38,0.085,0.046,-0.002,0.069,-0.039,0.095,0.027,-0.090,0.192
39,0.064,0.046,-0.016,0.075,0.009,0.030,0.027,-0.090,0.146
40,0.064,0.046,-0.020,0.095,0.009,0.032,0.027,-0.090,0.164
41,0.064,0.074,-0.061,0.075,-0.140,-0.003,0.027,0.013,0.050
42,0.085,-0.009,-0.002,0.075,0.009,0.095,0.027,-0.090,0.190
43,0.085,-0.009,-0.020,0.075,0.009,0.030,0.027,-0.090,0.107
44,0.064,-0.009,-0.061,0.000,-0.140,0.095,0.027,0.013,-0.011
45,0.085,0.002,-0.016,0.000,0.009,-0.003,0.027,-0.090,0.014
46,0.085,0.002,-0.016,-0.032,-0.039,-0.033,0.022,0.013,0.003
47,0.085,-0.184,-0.021,0.095,0.181,0.032,0.040,0.210,0.438
48,0.085,-0.009,-0.021,0.095,0.181,0.030,-0.016,0.210,0.555
49,0.136,0.074,0.068,0.069,0.181,0.023,0.025,0.210,0.787
50,0.136,0.002,0.068,0.069,0.106,0.095,0.040,0.210,0.726
51,0.085,0.002,0.077,0.069,0.106,0.095,0.040,0.210,0.684
52,0.085,-0.009,0.077,0.075,0.106,0.030,-0.016,0.210,0.558
53,0.085,-0.009,0.077,0.075,0.106,0.032,-0.016,0.210,0.560
54,0.136,0.046,0.068,0.000,0.093,-0.003,0.025,0.210,0.576
55,0.136,-0.009,0.068,0.069,0.093,0.032,0.040,0.210,0.639
56,0.085,0.002,0.068,-0.032,0.093,-0.003,0.040,0.210,0.463
57,0.085,-0.009,0.068,-0.069,0.009,-0.151,-0.016,0.210,0.128
58,0.085,-0.009,0.077,-0.069,-0.039,-0.003,-0.016,0.161,0.188
59,0.136,0.046,0.068,-0.010,-0.039,-0.031,0.040,0.161,0.372
60,0.085,-0.009,0.068,0.000,-0.039,0.095,0.040,0.161,0.401
61,0.085,-0.009,0.077,0.069,-0.039,0.095,-0.016,0.161,0.423
62,0.085,0.046,0.077,0.069,-0.140,0.095,-0.016,0.161,0.377
63,0.085,-0.009,0.077,-0.032,-0.140,0.032,-0.016,0.161,0.158
64,0.085,0.046,0.068,0.075,-0.140,0.095,0.040,0.161,0.430
65,0.085,0.046,0.068,0.075,-0.140,0.032,-0.016,0.161,0.311
66,0.085,0.046,0.068,0.069,-0.140,0.095,-0.016,0.013,0.220
67,0.085,0.046,0.077,0.000,-0.075,0.032,-0.016,0.161,0.311
68,0.085,-0.009,-0.021,0.095,0.181,0.032,-0.016,0.210,0.557
69,0.085,0.002,0.077,0.069,0.093,-0.003,-0.016,0.210,0.518
70,0.085,0.002,0.077,-0.010,-0.039,-0.031,-0.016,0.210,0.279
71,0.064,-0.009,0.077,-0.032,-0.140,-0.031,-0.016,0.210,0.124
72,0.136,-0.009,0.068,-0.199,-0.039,-0.151,0.025,0.161,-0.007
73,0.064,-0.009,0.077,-0.069,-0.075,-0.151,-0.016,0.161,-0.017
74,0.085,-0.009,0.068,-0.032,-0.140,0.095,0.040,0.161,0.267
75,0.064,0.046,-0.021,-0.032,-0.075,-0.031,-0.016,0.161,0.098
76,0.085,0.074,0.077,-0.199,-0.325,-0.033,-0.016,0.013,-0.323
77,0.085,0.074,0.077,-0.199,-0.325,-0.151,-0.016,0.013,-0.441
78,0.085,0.074,-0.021,-0.199,-0.075,-0.033,-0.016,0.013,-0.171
1625,-0.424,-0.184,-0.061,0.000,-0.075,0.030,0.027,-0.268,-0.955
1626,-0.424,-0.184,-0.061,-0.032,-0.325,-0.151,0.027,-0.268,-1.419
1627,-0.424,-0.184,-0.061,-0.069,-0.325,-0.151,0.027,-0.268,-1.455
1628,-0.424,-0.060,-0.016,-0.199,-0.325,-0.151,0.022,-0.268,-1.420
1629,-0.424,-0.060,-0.046,-0.199,-0.325,-0.151,0.022,-0.268,-1.450
1647,-0.424,-0.184,-0.061,-0.032,-0.075,0.023,-0.023,-0.268,-1.045
1648,-0.424,-0.184,-0.061,-0.010,-0.325,-0.033,0.027,-0.268,-1.279
1649,-0.424,-0.184,-0.020,-0.010,-0.325,-0.151,0.027,-0.268,-1.355
1650,-0.424,0.046,-0.002,-0.199,-0.325,-0.151,0.027,-0.268,-1.296
1651,-0.424,0.033,-0.046,-0.199,-0.325,-0.033,0.022,-0.268,-1.240
1652,-0.424,0.074,-0.046,0.095,-0.039,0.030,0.024,-0.268,-0.553
1666,-0.671,-0.009,-0.020,-0.010,-0.075,0.032,-0.023,-0.102,-0.878
1667,-0.424,-0.184,-0.061,-0.010,-0.075,0.023,-0.023,-0.268,-1.023
1668,-0.424,-0.184,-0.020,-0.010,-0.075,0.030,-0.023,-0.268,-0.974
1669,-0.424,-0.184,-0.020,-0.010,-0.325,-0.151,0.027,-0.268,-1.355
1670,-0.424,-0.184,-0.002,-0.199,-0.325,-0.151,0.027,-0.268,-1.526
1671,-0.424,0.046,-0.046,-0.199,-0.325,-0.151,0.022,-0.268,-1.344
1685,-0.671,0.046,-0.020,0.075,-0.039,0.030,-0.114,-0.102,-0.794
1686,-0.671,-0.184,-0.061,0.069,-0.140,0.023,-0.023,-0.102,-1.089
1687,-0.424,-0.184,-0.020,-0.032,-0.140,0.023,-0.023,-0.102,-0.903
1688,-0.424,-0.184,-0.016,-0.010,-0.075,0.032,0.027,-0.268,-0.918
1689,-0.424,-0.184,-0.016,-0.010,-0.325,-0.151,0.027,-0.268,-1.351
1690,-0.424,0.002,-0.046,-0.199,-0.075,-0.151,0.027,-0.268,-1.134
1704,-0.671,0.074,-0.061,0.000,0.093,0.032,-0.114,-0.102,-0.748
1705,-0.671,0.002,-0.061,-0.032,0.009,0.095,-0.114,-0.102,-0.874
1706,-0.424,-0.184,-0.061,-0.032,0.009,-0.003,-0.023,-0.102,-0.821
1707,-0.424,-0.184,-0.020,0.069,0.009,0.023,-0.023,-0.102,-0.652
1708,-0.424,-0.184,-0.020,0.075,0.009,0.023,0.027,-0.268,-0.762
1723,-0.671,0.046,-0.021,0.095,0.106,0.023,-0.114,-0.102,-0.637
1724,-0.671,0.002,-0.021,0.095,0.106,0.023,-0.023,-0.102,-0.591
1725,-0.424,0.002,-0.021,0.095,0.106,0.023,-0.023,-0.102,-0.345
1739,-0.671,0.074,0.068,0.075,0.106,0.030,-0.114,-0.090,-0.522
1740,-0.671,0.002,0.077,0.000,0.106,0.023,-0.114,-0.102,-0.678
113,0.057,0.047,-0.021,0.075,0.106,0.023,-0.016,0.210,0.481
114,0.168,0.047,-0.061,0.095,0.181,0.032,0.025,0.210,0.697
115,0.168,-0.060,0.077,0.095,0.106,0.095,0.040,0.210,0.731
116,0.168,0.074,-0.016,-0.032,0.181,0.032,0.024,0.210,0.641
117,0.168,-0.009,-0.061,0.075,0.181,0.030,0.025,0.210,0.619
118,0.168,0.046,-0.021,-0.010,0.093,-0.033,0.025,0.210,0.479
119,0.168,-0.060,-0.020,0.075,0.181,0.032,0.022,0.210,0.609
120,0.168,0.033,-0.061,0.095,0.181,0.023,0.024,0.210,0.673
121,0.168,-0.009,-0.021,0.069,0.106,0.023,0.024,0.210,0.570
122,0.168,0.033,0.077,0.095,0.106,0.023,0.024,0.210,0.736
123,0.057,-0.060,-0.002,0.095,0.106,0.032,0.040,0.210,0.478
124,0.168,0.047,-0.002,-0.199,0.093,-0.151,0.025,0.210,0.192
125,0.168,-0.060,-0.002,0.075,0.106,-0.003,0.040,0.210,0.534
126,0.168,-0.060,-0.020,0.095,0.106,0.032,0.040,0.210,0.571
127,0.168,-0.009,-0.016,-0.069,0.106,-0.031,0.024,0.210,0.383
128,0.168,0.046,-0.016,0.095,0.181,0.032,0.025,0.210,0.741
129,0.168,0.033,-0.020,-0.069,0.106,-0.031,0.024,0.210,0.421
130,0.168,0.047,-0.016,0.069,0.106,-0.033,0.022,0.210,0.574
131,0.168,-0.009,-0.061,0.095,0.181,-0.031,0.027,0.210,0.580
132,0.168,-0.060,0.077,0.095,0.181,0.095,0.022,0.210,0.789
133,0.168,0.047,0.077,-0.069,0.093,-0.033,0.040,0.210,0.534
134,0.057,0.047,0.077,-0.010,0.093,-0.003,0.040,0.210,0.512
135,0.168,-0.009,-0.061,-0.032,0.093,-0.033,0.025,0.210,0.361
136,0.168,0.074,-0.061,-0.010,0.093,-0.031,0.025,0.210,0.469
137,0.057,0.074,-0.021,-0.069,0.093,-0.003,0.040,0.161,0.333
138,0.168,0.074,0.077,0.075,0.106,0.032,0.024,0.210,0.766
139,0.168,-0.009,-0.021,0.075,0.106,0.032,0.025,0.161,0.536
140,0.168,0.046,0.077,0.095,0.093,0.030,0.025,0.161,0.696
141,0.057,0.074,0.077,0.095,0.093,0.032,0.040,0.161,0.630
142,0.168,0.033,0.068,-0.069,0.093,-0.033,0.022,0.210,0.492
143,0.168,0.047,0.068,0.075,0.106,0.032,0.024,0.161,0.681
144,0.168,0.046,0.077,0.069,0.093,0.023,0.024,0.161,0.662
145,0.168,-0.009,0.077,-0.069,0.009,-0.033,0.025,0.161,0.330
146,0.057,0.047,-0.021,-0.199,-0.039,-0.151,0.025,0.013,-0.266
147,0.168,-0.184,-0.021,0.095,0.093,0.023,0.027,0.161,0.362
148,0.168,-0.184,0.077,0.000,0.009,-0.003,0.027,0.013,0.108
149,0.168,0.002,-0.061,-0.032,0.009,-0.033,0.022,0.161,0.236
150,0.168,-0.009,-0.021,-0.069,0.009,-0.033,0.024,0.013,0.083
151,0.168,0.074,0.077,-0.010,0.009,-0.151,0.024,0.013,0.206
152,0.168,-0.184,-0.021,0.075,0.093,0.095,0.027,0.161,0.413
153,0.168,-0.184,-0.021,0.069,0.009,0.030,0.022,0.013,0.107
154,0.168,-0.184,-0.021,0.069,0.009,0.030,0.022,0.013,0.107
155,0.168,0.002,-0.021,0.069,-0.039,-0.031,0.024,0.013,0.186
156,0.168,-0.009,0.077,-0.010,-0.039,-0.003,0.024,0.013,0.222
157,0.057,0.046,0.068,-0.199,-0.325,-0.151,0.025,-0.090,-0.568
158,0.168,0.002,-0.021,-0.032,0.009,0.030,0.027,0.013,0.196
159,0.168,-0.184,-0.021,-0.032,-0.039,-0.003,0.022,0.013,-0.075
160,0.168,0.002,-0.021,-0.010,-0.140,-0.031,0.024,0.013,0.005
161,0.168,0.002,-0.021,-0.010,-0.325,-0.033,0.024,-0.090,-0.285
162,0.057,-0.184,0.077,-0.199,-0.325,0.030,0.025,-0.090,-0.609
1760,-0.424,-0.060,0.077,-0.010,0.009,0.030,0.027,-0.268,-0.618
1761,-0.424,-0.060,0.068,-0.069,0.009,-0.031,0.027,-0.268,-0.747
1762,-0.424,0.033,0.077,-0.069,0.009,0.095,0.022,-0.268,-0.525
1777,-0.424,-0.060,0.077,-0.069,0.009,0.030,0.027,-0.102,-0.511
1778,-0.424,-0.060,0.077,-0.010,0.009,-0.031,0.027,-0.268,-0.679
1779,-0.424,-0.060,0.077,0.000,0.093,0.095,0.027,-0.268,-0.460
1792,-0.424,0.033,0.077,-0.010,-0.039,-0.151,-0.023,-0.102,-0.639
1793,-0.424,-0.060,-0.021,-0.069,0.009,-0.031,-0.023,-0.102,-0.720
1794,-0.424,-0.060,-0.021,-0.032,0.093,0.030,-0.023,-0.102,-0.539
1795,-0.424,-0.060,0.077,-0.032,0.093,0.030,-0.023,-0.268,-0.607
1796,-0.424,-0.060,0.077,-0.032,0.093,-0.033,0.027,-0.268,-0.620
1808,-0.424,0.046,-0.021,-0.199,-0.075,-0.151,-0.114,-0.090,-1.028
1809,-0.424,0.033,-0.020,-0.199,-0.140,-0.151,-0.023,-0.102,-1.027
1810,-0.424,-0.060,-0.016,-0.069,0.009,-0.033,-0.023,-0.102,-0.718
1811,-0.424,-0.060,-0.061,-0.010,0.093,0.030,-0.023,-0.102,-0.557
1812,-0.424,0.033,-0.021,-0.010,0.009,-0.033,-0.023,-0.268,-0.738
1825,-0.424,0.002,-0.016,-0.010,-0.039,-0.031,-0.114,-0.090,-0.722
1826,-0.424,0.046,-0.016,-0.032,0.009,-0.003,-0.114,-0.102,-0.636
1827,-0.424,0.033,-0.016,0.069,0.093,-0.003,-0.114,-0.102,-0.464
1828,-0.424,0.047,-0.020,0.069,0.093,0.095,-0.114,-0.102,-0.356
184,0.168,-0.060,-0.021,0.095,0.181,0.030,-0.114,0.210,0.489
185,0.168,-0.060,0.068,0.095,0.181,0.032,-0.023,0.210,0.671
186,0.168,-0.060,0.068,0.075,0.181,0.030,-0.023,0.210,0.649
187,0.168,0.033,0.077,-0.069,0.009,0.030,-0.114,0.161,0.295
188,0.168,-0.060,0.077,-0.199,-0.325,-0.151,-0.114,0.161,-0.442
189,0.168,-0.060,0.068,-0.010,0.093,0.095,-0.023,0.210,0.541
190,0.168,-0.060,0.068,0.000,0.009,-0.031,-0.023,0.161,0.293
191,0.168,-0.060,0.077,0.069,0.009,0.095,-0.114,0.161,0.406
192,0.168,-0.060,0.077,0.095,0.093,0.032,-0.114,0.161,0.452
193,0.168,-0.060,0.068,-0.199,-0.039,-0.033,0.027,0.161,0.094
194,0.168,-0.060,0.068,-0.010,0.009,-0.003,-0.023,0.161,0.310
195,0.168,-0.060,0.077,-0.032,0.093,0.030,-0.023,0.161,0.414
196,0.168,0.047,0.068,-0.010,0.009,0.030,-0.114,0.013,0.212
197,0.168,-0.060,-0.021,-0.199,-0.140,-0.151,-0.023,0.161,-0.265
198,0.168,-0.060,0.068,0.000,0.009,0.095,-0.023,0.013,0.270
199,0.168,0.033,0.068,0.095,0.009,0.023,-0.023,0.013,0.386
200,0.168,0.046,0.068,0.095,-0.039,0.023,-0.114,0.013,0.261
201,0.168,0.033,-0.021,0.095,-0.039,-0.003,-0.023,0.013,0.223
202,0.168,0.047,0.068,-0.032,-0.140,0.023,-0.023,0.013,0.124
203,0.168,0.002,-0.002,0.069,-0.075,0.032,0.022,-0.102,0.115
204,0.168,0.002,-0.002,-0.010,-0.325,0.095,0.024,-0.102,-0.150
205,0.168,0.002,-0.046,-0.069,-0.325,-0.003,0.024,-0.102,-0.351
206,0.168,0.002,-0.046,0.095,-0.075,0.032,0.027,-0.102,0.101
207,0.168,-0.009,-0.002,0.075,-0.075,0.095,0.022,-0.090,0.184
208,0.168,-0.009,-0.002,-0.010,-0.075,-0.031,0.022,-0.090,-0.026
209,0.168,0.074,-0.046,-0.010,-0.075,-0.003,0.022,-0.090,0.041
210,0.168,0.002,-0.046,0.075,-0.140,0.023,0.027,-0.090,0.019
211,0.168,0.002,-0.002,0.069,-0.140,0.095,0.027,-0.090,0.128
212,0.168,0.002,-0.002,-0.032,-0.140,-0.031,0.027,-0.090,-0.098
213,0.168,0.046,-0.002,-0.032,-0.039,-0.033,0.022,-0.090,0.041
214,0.168,-0.009,-0.046,0.075,-0.039,0.030,0.027,-0.090,0.116
215,0.168,0.002,-0.002,-0.032,-0.140,-0.003,0.027,0.013,0.033
216,0.168,0.002,-0.002,-0.032,-0.039,0.095,0.027,0.013,0.232
217,0.168,-0.009,-0.046,0.095,0.009,0.032,-0.023,0.013,0.239
218,0.168,0.046,-0.002,0.000,-0.039,0.030,-0.023,0.013,0.194
219,0.168,-0.009,-0.002,-0.032,-0.039,0.023,0.027,0.013,0.150
220,0.168,0.074,-0.002,0.095,0.093,0.023,-0.023,0.013,0.441
221,0.168,0.074,-0.020,0.075,0.009,-0.031,-0.023,0.013,0.266
222,0.168,0.047,-0.016,0.075,0.093,0.023,-0.114,0.013,0.290
223,0.168,-0.009,-0.020,-0.069,0.009,-0.033,-0.114,0.161,0.093
224,0.085,-0.009,0.077,0.069,0.106,0.030,-0.016,0.210,0.552
225,0.064,0.046,0.077,-0.032,0.106,-0.033,-0.016,0.210,0.423
226,0.064,0.033,0.068,-0.010,0.106,-0.033,-0.016,0.210,0.423
227,0.064,-0.060,0.068,0.000,0.106,0.030,-0.016,0.210,0.403
228,0.064,-0.060,0.068,0.095,0.106,0.095,-0.016,0.210,0.563
229,0.064,-0.060,0.077,0.095,0.106,0.032,0.040,0.210,0.565
230,0.064,-0.009,0.077,-0.032,0.009,-0.031,-0.016,0.210,0.274
231,0.064,0.074,0.068,-0.032,0.009,-0.031,-0.016,0.210,0.348
232,0.064,0.047,0.068,-0.010,0.009,-0.003,-0.016,0.210,0.371
233,0.064,-0.060,0.068,-0.032,0.009,-0.003,-0.016,0.210,0.242
234,0.064,-0.060,0.068,0.095,0.093,0.030,0.040,0.210,0.541
235,0.064,-0.060,0.077,0.075,0.093,0.032,0.040,0.210,0.532
236,0.023,0.047,0.077,0.069,0.093,0.030,0.025,0.210,0.575
237,0.023,0.074,-0.021,0.069,0.009,0.030,0.025,0.210,0.420
238,0.064,0.047,0.068,-0.069,-0.075,-0.151,-0.016,0.210,0.080
239,0.064,-0.060,0.068,-0.199,-0.075,-0.151,-0.016,0.210,-0.157
240,0.064,-0.060,0.068,-0.010,-0.039,-0.003,-0.016,0.210,0.216
241,0.064,-0.060,0.068,0.095,0.093,0.032,0.040,0.210,0.543
242,0.023,0.033,0.068,0.095,0.093,0.023,0.040,0.210,0.585
243,0.023,0.074,0.068,0.095,0.009,0.023,0.025,0.210,0.528
244,0.023,0.046,0.077,0.095,0.009,0.032,0.025,0.210,0.518
245,0.023,0.046,0.077,0.075,-0.039,0.030,0.024,0.210,0.447
246,0.023,0.046,0.077,0.000,-0.140,-0.003,0.024,0.210,0.237
247,-0.671,0.046,0.077,-0.010,-0.140,-0.003,0.022,0.210,-0.468
248,0.023,-0.060,0.068,-0.199,-0.325,-0.033,-0.016,0.210,-0.331
249,0.023,-0.060,0.068,-0.199,-0.325,-0.033,0.040,0.210,-0.276
250,0.023,0.047,0.068,-0.069,-0.140,-0.031,0.040,0.210,0.148
251,0.023,0.046,0.068,-0.032,-0.039,0.032,0.025,0.210,0.334
252,0.023,0.046,0.068,0.000,-0.140,-0.031,0.025,0.210,0.202
253,0.023,0.074,0.068,0.069,-0.039,0.095,0.024,0.210,0.525
254,0.023,0.074,0.068,0.069,-0.140,0.030,0.024,0.210,0.358
255,-0.671,0.046,0.077,0.069,-0.140,0.030,0.022,0.210,-0.356
256,0.023,0.047,0.077,-0.199,-0.325,-0.151,0.040,0.161,-0.327
257,0.023,0.074,0.077,-0.199,-0.075,-0.151,0.040,0.161,-0.049
258,0.023,0.074,0.077,-0.199,-0.075,-0.151,0.025,0.161,-0.064
259,0.023,0.074,0.068,-0.199,-0.075,-0.033,0.025,0.161,0.045
260,-0.671,0.074,0.068,-0.010,-0.140,0.095,0.024,0.161,-0.398
261,-0.671,0.074,0.077,-0.010,-0.075,-0.003,0.024,0.161,-0.421
262,-0.671,0.074,-0.021,0.000,0.106,-0.003,0.027,0.013,-0.474
263,-0.671,0.074,0.077,-0.032,0.093,-0.031,0.027,0.013,-0.448
264,-0.671,0.046,0.077,-0.032,0.093,0.030,-0.023,-0.090,-0.569
265,0.023,0.074,-0.061,0.069,0.106,0.095,0.022,0.013,0.341
266,0.023,0.074,-0.061,0.000,0.106,0.095,0.022,0.013,0.272
267,-0.671,-0.009,-0.021,-0.032,0.093,0.030,0.027,0.013,-0.569
268,-0.671,-0.009,-0.021,-0.069,0.009,-0.151,0.027,0.013,-0.871
269,-0.671,0.046,-0.021,-0.199,0.009,-0.033,0.027,0.013,-0.827
270,0.023,0.074,-0.021,0.075,0.181,0.095,0.025,0.161,0.613
271,0.023,0.074,-0.021,0.000,0.106,-0.003,0.024,0.161,0.364
272,0.023,0.047,-0.021,0.000,0.106,0.095,0.024,0.161,0.435
273,0.023,0.047,-0.021,0.069,0.106,0.030,0.024,0.161,0.439
274,0.023,0.074,-0.021,0.069,0.093,0.095,0.022,0.161,0.516
275,0.023,0.046,-0.021,0.069,0.093,0.032,0.022,0.161,0.426
276,-0.671,-0.009,-0.021,-0.032,0.009,-0.003,0.027,0.161,-0.539
277,0.023,0.074,-0.021,0.000,0.106,0.095,0.025,0.161,0.463
278,0.023,0.074,0.077,0.069,0.106,0.095,0.025,0.161,0.630
279,0.023,0.047,0.077,0.075,0.106,-0.003,0.024,0.161,0.510
280,0.023,0.047,0.077,0.069,0.093,0.032,0.024,0.161,0.527
281,0.023,0.046,-0.016,0.000,-0.075,0.095,0.024,0.013,0.111
